22:47:32:877 INFO (File.XLS.XLSRaidForge): Lese Raid:20.12.13
22:47:32:878 DEBUG(File.XLS.XLSBookForge): Lese Sheet(11| 18.12.13)
22:47:32:879 INFO (File.XLS.XLSRaidForge): Lese Raid:18.12.13
22:47:32:880 DEBUG(File.XLS.XLSBookForge): Lese Sheet(12| 13.12.13)
22:47:32:880 INFO (File.XLS.XLSRaidForge): Lese Raid:13.12.13
22:47:32:882 DEBUG(File.XLS.XLSBookForge): Lese Sheet(13| 11.12.13)
22:47:32:882 INFO (File.XLS.XLSRaidForge): Lese Raid:11.12.13
22:47:32:883 DEBUG(File.XLS.XLSBookForge): Lese Sheet(14| 06.12.13)
22:47:32:884 INFO (File.XLS.XLSRaidForge): Lese Raid:06.12.13
22:47:32:885 DEBUG(File.XLS.XLSBookForge): Lese Sheet(15| 04.12.13)
22:47:32:886 INFO (File.XLS.XLSRaidForge): Lese Raid:04.12.13
22:47:32:887 DEBUG(File.XLS.XLSBookForge): Lese Sheet(16| 01.12.13)
22:47:32:887 INFO (File.XLS.XLSRaidForge): Lese Raid:01.12.13
22:47:32:888 DEBUG(File.XLS.XLSBookForge): Lese Sheet(17| 29.11.13)
22:47:32:889 INFO (File.XLS.XLSRaidForge): Lese Raid:29.11.13
22:47:32:890 DEBUG(File.XLS.XLSBookForge): Lese Sheet(18| 27.11.13)
22:47:32:891 INFO (File.XLS.XLSRaidForge): Lese Raid:27.11.13
22:47:32:892 DEBUG(File.XLS.XLSBookForge): Lese Sheet(19| 22.11.13)
22:47:32:892 INFO (File.XLS.XLSRaidForge): Lese Raid:22.11.13
